,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian_x,traveltime_x,studytime_x,failures_x,schoolsup_x,famsup_x,paid_x,activities_x,nursery,higher_x,internet,romantic_x,famrel_x,freetime_x,goout_x,Dalc_x,Walc_x,health_x,absences_x,G1_x,G2_x,G3_x,guardian_y,traveltime_y,studytime_y,failures_y,schoolsup_y,famsup_y,paid_y,activities_y,higher_y,romantic_y,famrel_y,freetime_y,goout_y,Dalc_y,Walc_y,health_y,absences_y,G1_y,G2_y,G3_y
0,GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,4,0,11,11,mother,2,2,0,yes,no,no,no,yes,no,4,3,4,1,1,3,6,5,6,6
1,GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,2,9,11,11,father,1,2,0,no,yes,no,no,yes,no,5,3,3,1,1,3,4,5,5,6
2,GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,4,3,2,2,3,3,6,12,13,12,mother,1,2,3,yes,no,yes,no,yes,no,4,3,2,2,3,3,10,7,8,10
3,GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,0,14,14,14,mother,1,3,0,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15
4,GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,2,1,2,5,0,11,13,13,father,1,2,0,no,yes,yes,no,yes,no,4,3,2,1,2,5,4,6,10,10
5,GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,1,2,5,6,12,12,13,mother,1,2,0,no,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15,15,15
6,GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,13,12,13,mother,1,2,0,no,no,no,no,yes,no,4,4,4,1,1,3,0,12,12,11
7,GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,2,10,13,13,mother,2,2,0,yes,yes,no,no,yes,no,4,1,4,1,1,1,6,6,5,6
8,GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,1,1,0,15,16,17,mother,1,2,0,no,yes,yes,no,yes,no,4,2,2,1,1,1,0,16,18,19
9,GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,5,1,1,1,5,0,12,12,13,mother,1,2,0,no,yes,yes,yes,yes,no,5,5,1,1,1,5,0,14,15,15
10,GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3,3,3,1,2,2,2,14,14,14,mother,1,2,0,no,yes,yes,no,yes,no,3,3,3,1,2,2,0,10,8,9
11,GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,0,10,12,13,father,3,3,0,no,yes,no,yes,yes,no,5,2,2,1,1,4,4,10,12,12
12,GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,3,5,0,12,13,12,father,1,1,0,no,yes,yes,yes,yes,no,4,3,3,1,3,5,2,14,14,14
13,GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,5,4,3,1,2,3,0,12,12,13,mother,2,2,0,no,yes,yes,no,yes,no,5,4,3,1,2,3,2,10,10,11
14,GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,14,15,other,1,3,0,no,yes,no,no,yes,yes,4,5,2,1,1,3,0,14,16,16
15,GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,6,17,17,17,mother,1,1,0,no,yes,no,no,yes,no,4,4,4,1,2,2,4,14,14,14
16,GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,3,2,3,1,2,2,10,13,13,14,mother,1,3,0,no,yes,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14
17,GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,2,13,14,14,mother,3,2,0,yes,yes,no,yes,yes,no,5,3,2,1,1,4,4,8,10,10
18,GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,2,8,8,7,mother,1,1,3,no,yes,no,yes,yes,no,5,5,5,2,4,5,16,6,5,5
19,GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,6,12,12,12,father,1,1,0,no,no,yes,yes,yes,no,3,1,3,1,3,5,4,8,10,10
20,GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,12,13,14,mother,1,2,0,no,no,no,no,yes,no,4,4,1,1,1,1,0,13,14,15
21,GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,11,12,12,father,1,1,0,no,yes,yes,no,yes,no,5,4,2,1,1,5,0,12,15,15
22,GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,0,12,13,14,mother,1,2,0,no,no,no,yes,yes,no,4,5,1,1,3,5,2,15,15,16
23,GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,2,10,10,10,mother,2,2,0,no,yes,no,yes,yes,no,5,4,4,2,4,5,0,13,13,12
24,GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,11,10,mother,1,3,0,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,9,8
25,GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,1,2,2,1,3,5,6,10,11,12,mother,1,1,2,no,yes,yes,no,yes,no,1,2,2,1,3,5,14,6,9,8
26,GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,2,5,8,11,12,12,mother,1,1,0,no,yes,yes,no,yes,no,4,2,2,1,2,5,2,12,12,11
27,GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,2,2,4,2,4,1,0,11,11,11,mother,1,1,0,no,no,yes,no,yes,no,2,2,4,2,4,1,4,15,16,15
28,GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,12,12,13,mother,1,2,0,yes,yes,no,yes,yes,no,5,3,3,1,1,5,4,11,11,11
29,GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,4,12,11,12,mother,1,2,0,no,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11
30,GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,10,11,11,mother,1,2,0,no,yes,yes,no,yes,no,5,4,2,3,4,5,0,9,11,12
31,GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,2,15,15,15,mother,2,2,0,no,yes,no,yes,yes,no,4,3,1,1,1,5,0,17,16,17
32,GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,13,14,15,mother,1,2,0,no,yes,no,yes,yes,yes,4,5,2,1,1,5,0,17,16,16
33,GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,13,12,12,mother,1,2,0,no,no,no,yes,yes,no,5,3,2,1,1,2,0,8,10,12
34,GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,5,4,3,1,1,5,4,12,12,12,mother,1,1,0,no,yes,yes,no,yes,no,5,4,3,1,1,5,0,12,14,15
35,GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,4,11,11,11,father,2,1,0,no,yes,no,yes,yes,no,3,5,1,1,1,5,0,8,7,6
36,GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,0,14,14,14,mother,1,3,0,no,yes,no,yes,yes,no,5,4,3,1,1,4,2,15,16,18
37,GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,4,13,13,13,mother,2,3,0,no,yes,no,yes,yes,yes,2,4,3,1,1,5,7,15,16,15
38,GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,11,12,12,mother,1,3,0,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,12,12,11
39,GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,no,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,12,mother,1,1,0,yes,yes,yes,yes,yes,no,4,3,1,1,1,2,8,14,13,13
40,GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,0,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,16,11,11,10,mother,2,2,1,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,7,10,11
41,GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,10,11,11,other,1,1,0,no,yes,no,no,yes,yes,5,4,3,2,4,5,8,12,12,12
42,GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,0,14,15,15,father,1,2,0,no,yes,no,yes,yes,no,4,3,3,1,1,5,2,19,18,18
43,GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,9,10,10,father,1,1,0,yes,yes,no,no,yes,no,5,4,1,1,1,1,0,8,8,11
44,GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,11,11,father,2,2,1,yes,no,no,yes,yes,no,4,3,3,2,2,5,14,10,10,9
45,GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,10,11,11,mother,1,2,0,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6
46,GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,6,13,12,13,mother,1,2,0,no,yes,no,no,yes,no,2,3,5,1,4,3,12,11,12,11
47,GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,2,17,17,17,mother,1,4,0,no,no,no,yes,yes,no,4,2,2,1,1,2,4,19,19,20
48,GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,3,2,2,5,4,11,12,13,mother,1,2,0,no,yes,yes,no,yes,no,4,3,3,2,2,5,2,15,15,14
49,GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,0,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,13,12,12,father,1,2,1,yes,yes,no,yes,yes,no,4,4,4,1,1,3,2,7,7,7
50,GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,2,3,4,0,14,13,13,mother,3,2,0,no,yes,yes,no,yes,no,4,3,3,2,3,4,2,12,13,13
51,GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,5,0,16,14,16,mother,1,2,0,no,yes,yes,no,yes,no,4,3,3,1,1,5,2,11,13,13
52,GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,0,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,4,10,9,9,father,2,1,1,no,no,no,no,yes,no,5,5,5,3,4,5,6,11,11,10
53,GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,no,no,yes,yes,yes,no,3,3,4,2,3,5,0,13,12,12,mother,1,1,0,yes,yes,yes,no,yes,no,3,3,4,2,3,5,0,8,10,11
54,GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5,3,4,4,4,1,0,13,12,13,mother,1,1,0,no,no,yes,no,yes,no,5,3,4,4,4,1,6,10,13,13
55,GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,2,12,13,12,mother,1,2,0,no,no,yes,yes,yes,yes,5,3,4,1,1,2,8,8,9,10
56,GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0,15,14,15,mother,1,2,0,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0,14,15,15
57,GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,8,15,15,16,mother,1,2,0,no,yes,no,yes,yes,no,3,2,2,1,1,5,4,14,15,15
58,GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,14,13,14,father,1,2,0,yes,yes,no,yes,yes,no,4,3,2,1,1,5,2,9,10,9
59,GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,3,1,1,5,2,16,15,16,mother,1,2,0,no,yes,no,no,yes,no,4,2,3,1,1,5,2,15,16,16
60,GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,0,17,16,16,mother,1,2,0,no,yes,no,yes,yes,no,2,4,4,2,3,4,6,10,11,11
61,GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,0,10,10,16,father,4,1,0,yes,yes,no,yes,yes,yes,5,5,5,5,5,5,6,10,8,11
62,GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,0,13,13,10,father,1,2,0,yes,no,no,yes,yes,no,4,4,3,1,1,1,4,8,10,9
63,GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,3,4,4,2,4,4,0,14,13,13,mother,1,3,0,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,10,9,9
64,GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,13,12,12,father,1,2,0,yes,no,no,yes,yes,yes,4,4,4,2,4,2,0,10,10,10
65,GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,16,mother,3,2,0,no,yes,no,yes,yes,no,5,4,3,1,2,1,2,16,15,15
66,GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,0,11,12,12,mother,1,4,0,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4,13,13,12
67,GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,4,3,3,1,2,5,0,10,9,10,mother,1,4,0,yes,yes,yes,no,yes,no,4,3,3,1,2,5,4,7,7,6
68,GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,4,1,3,1,3,4,0,11,10,11,mother,2,2,0,yes,yes,yes,no,yes,no,4,1,3,1,3,4,2,8,9,8
69,GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,6,15,15,15,father,2,4,0,no,yes,no,no,yes,no,4,4,2,2,3,3,12,16,16,16
70,GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,5,2,13,11,11,father,2,4,0,no,yes,yes,no,yes,no,4,3,2,1,1,5,0,13,15,15
71,GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,11,9,10,mother,1,4,0,no,no,no,no,yes,no,3,3,3,1,1,3,0,10,10,10
72,GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,0,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,13,11,11,mother,1,2,2,yes,yes,no,no,yes,yes,3,3,4,2,4,5,2,8,6,5
73,GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,0,13,13,14,mother,1,1,0,no,no,no,yes,yes,no,5,3,2,2,2,5,2,12,12,14
74,GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,3,2,4,5,4,11,11,11,mother,1,2,0,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,11,12,11
75,GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,3,5,0,11,11,11,mother,1,2,0,no,yes,yes,yes,yes,no,4,3,3,2,3,5,6,9,9,10
76,GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,0,12,11,11,mother,2,4,0,no,no,no,yes,yes,no,3,4,3,1,1,1,8,11,11,10
77,GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,no,no,yes,yes,yes,yes,5,2,3,1,3,3,1,13,13,13,mother,1,4,0,no,no,yes,no,yes,yes,5,2,3,1,3,3,0,11,11,11
78,GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,0,9,9,10,mother,2,1,3,yes,yes,no,yes,no,no,4,5,1,1,1,3,2,8,8,10
79,GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,0,9,9,10,mother,1,1,3,no,yes,no,no,yes,no,5,4,5,1,2,5,0,5,0,0
80,GP,M,17,U,GT3,T,2,1,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,4,5,1,2,5,22,9,7,6,mother,2,1,3,yes,yes,no,yes,no,no,4,5,1,1,1,3,2,8,8,10
81,GP,M,17,U,GT3,T,2,1,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,4,5,1,2,5,22,9,7,6,mother,1,1,3,no,yes,no,no,yes,no,5,4,5,1,2,5,0,5,0,0
82,GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,14,12,11,11,mother,1,2,0,no,yes,no,no,yes,no,2,4,3,1,2,3,12,5,5,5
83,GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,no,yes,no,yes,yes,yes,3,2,2,1,3,3,0,11,11,12,father,1,1,0,yes,yes,yes,yes,yes,yes,3,2,2,1,3,3,2,10,12,12
84,GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,no,no,no,yes,yes,no,5,3,2,1,2,5,2,10,9,9,mother,1,3,0,yes,no,yes,no,yes,no,5,3,2,1,2,5,4,11,10,11
85,GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,1,5,4,12,11,11,mother,1,2,0,no,yes,yes,no,yes,no,4,4,4,1,1,5,10,7,6,6
86,GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,2,13,12,13,mother,2,2,0,no,no,yes,yes,yes,no,5,3,3,1,3,4,4,15,15,15
87,GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,13,12,12,father,1,2,0,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,9,10,10
88,GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,0,no,no,no,no,yes,yes,yes,yes,4,4,4,2,3,5,4,12,11,12,father,2,2,2,no,no,yes,no,yes,yes,4,4,4,2,3,5,6,7,9,8
89,GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,6,13,11,11,mother,1,2,0,no,yes,no,no,yes,no,4,3,4,1,2,2,4,8,7,6
90,GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,15,15,15,mother,1,3,0,no,yes,no,yes,yes,no,5,3,3,1,3,1,4,13,14,14
91,GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,0,no,no,no,yes,no,yes,yes,no,4,4,2,1,1,3,6,12,10,11,father,2,2,1,no,no,yes,yes,yes,no,4,4,2,1,1,3,12,11,10,10
92,GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,6,9,9,10,mother,1,2,0,no,yes,no,no,yes,no,4,1,3,3,5,5,18,8,6,7
